"component_tag";"name";"location";"condition";"section_id"
"JA1000084";"Shafts";"ENCP36007112";1;"JAL379510"
"JA1000085";"Fire extinguisher";"ENCP36007113";1;"JAL379510"
"JA1000086";"Toolbox";"ENCP36007114";1;"JAL379510"
"JA1000087";"Rulers";"ENCP36007115";1;"JAL379510"
"JA1000088";"Acrylic lens";"ENCP36007116";1;"JAL379510"
"JA1000089";"Gyroscope";"ENCP36007117";1;"JAL379510"
"JA1000090";"Electrodes";"ENCP36007118";1;"JAL379510"
"JA1000091";"Magnetism kit";"ENCP36007201";1;"JAL379511"
"JA1000092";"Prism";"ENCP36007202";1;"JAL379511"
"JA1000093";"Batteries";"ENCP36007203";1;"JAL379511"
"JA1000094";"Battery charger";"ENCP36007204";1;"JAL379511"
"JA1000095";"Holographs";"ENCP36007205";1;"JAL379511"
"JA1000096";"LEDs";"ENCP36007206";1;"JAL379511"
"JA1000097";"Power jacks";"ENCP36007207";1;"JAL379511"
"JA1000098";"Scientific Calculator";"ENCP36007208";1;"JAL379511"
"JA1000099";"Extension chord";"ENCP36007209";1;"JAL379511"
"JA1000100";"Potentiometer";"ENCP36007210";1;"JAL379511"
"JA1000101";"Springs";"ENCP36007211";1;"JAL379511"
"JA1000102";"Switches";"ENCP36007212";1;"JAL379511"
"JA1000103";"Bushings";"ENCP36007213";1;"JAL379511"
"JA1000104";"Bearings";"ENCP36007214";1;"JAL379511"
"JA1000105";"Belts";"ENCP36007215";1;"JAL379511"
"JA1000106";"Pulleys";"ENCP36007216";1;"JAL379511"
"JA1000107";"Protractors";"ENCP36007217";1;"JAL379511"
"JA1000108";"Photogate";"ENCP36007218";1;"JAL379511"
"JA1000109";"Pressure clamps";"ENCP36007301";1;"JAL379512"
"JA1000110";"Vernier caliper";"ENCP36007302";1;"JAL379512"
"JA1000111";"Neodymium magnets";"ENCP36007303";1;"JAL379512"
"JA1000112";"Insulated cups";"ENCP36007304";1;"JAL379512"
"JA1000113";"Flasks";"ENCP36007305";1;"JAL379512"
"JA1000114";"Electroscope";"ENCP36007306";1;"JAL379512"
"JA1000115";"Pith balls";"ENCP36007307";1;"JAL379512"
"JA1000116";"Voltmeter";"ENCP36007308";1;"JAL379512"
"JA1000117";"Conductivity paper";"ENCP36007309";1;"JAL379512"
"JA1000118";"Ammeter";"ENCP36007310";1;"JAL379512"
"JA1000119";"Multimeter";"ENCP36007311";1;"JAL379512"
"JA1000120";"Power register";"ENCP36007312";1;"JAL379512"
"JA1000121";"Tunning fork";"ENCP36007313";1;"JAL379512"
"JA1000122";"Resonance tube";"ENCP36007314";1;"JAL379512"
"JA1000123";"Stroboscope";"ENCP36007315";1;"JAL379512"
"JA1000124";"Diffraction grating";"ENCP36007316";1;"JAL379512"
"JA1000125";"Convex lenses";"ENCP36007317";1;"JAL379512"
"JA1000126";"Geiger counter";"ENCP36007318";1;"JAL379512"
"JA1000127";"IsoGenerator";"ENCP36007401";1;"JAL379513"
"JA1000128";"Rheostat";"ENCP36007402";1;"JAL379513"
"JA1000129";"Resistance box";"ENCP36007403";1;"JAL379513"
"JA1000130";"Aneroid barometer";"ENCP36007404";1;"JAL379513"
"JA1000131";"Galvanometer";"ENCP36007405";1;"JAL379513"
"JA1000132";"Gas taps";"ENCP36007406";1;"JAL379513"
"JA1000133";"G-Clamps";"ENCP36007407";1;"JAL379513"
"JA1000134";"Hydrometer";"ENCP36007408";1;"JAL379513"
"JA1000135";"Klinostat";"ENCP36007409";1;"JAL379513"
"JA1000136";"Micrometer Screw Gauge";"ENCP36007410";1;"JAL379513"
"JA1000137";"Optical bench";"ENCP36007411";1;"JAL379513"
"JA1000138";"Potentiometer";"ENCP36007412";1;"JAL379513"
"JA1000139";"Resonance Apparatus";"ENCP36007413";1;"JAL379513"
"JA1000140";"Sonometer";"ENCP36007414";1;"JAL379513"
"JA1000141";"Calorimeter";"ENCP36007415";1;"JAL379513"
"JA1000142";"Joule";"ENCP36007416";1;"JAL379513"
"JA1000143";"Magnetic stir bar";"ENCP36007417";1;"JAL379513"
"RU1000161";"Test tube";"ENCP14003101";1;"RUL290510"
"RU1000162";"Ring stands";"ENCP14003102";1;"RUL290510"
"RU1000163";"Clamps";"ENCP14003103";1;"RUL290510"
"RU1000164";"Thermometers";"ENCP14003104";1;"RUL290510"
"RU1000165";"Hotplates";"ENCP14003105";1;"RUL290510"
"RU1000166";"Periodic tables";"ENCP14003106";1;"RUL290510"
"RU1000167";"Glass and rubber tubes";"ENCP14003107";1;"RUL290510"
"RU1000168";"Corks";"ENCP14003108";1;"RUL290510"
"RU1000169";"Flasks";"ENCP14003109";1;"RUL290510"
"RU1000170";"Tapes";"ENCP14003110";1;"RUL290510"
"RU1000171";"Filters";"ENCP14003111";1;"RUL290510"
"RU1000172";"Pipets";"ENCP14003112";1;"RUL290510"
"RU1000173";"Syringes";"ENCP14003113";1;"RUL290510"
"RU1000174";"Beakers";"ENCP14003114";1;"RUL290510"
"RU1000175";"Funnels";"ENCP14003115";1;"RUL290510"
"RU1000176";"Flasks";"ENCP14003116";1;"RUL290510"
"RU1000177";"Scientific Goggles";"ENCP14003117";1;"RUL290510"
"RU1000178";"Lab coats";"ENCP14003201";1;"RUL290511"
"RU1000179";"Fire extinguisher";"ENCP14003202";1;"RUL290511"
"RU1000180";"Measuring weight";"ENCP14003203";1;"RUL290511"
"RU1000181";"Ph test strips";"ENCP14003204";1;"RUL290511"
"RU1000182";"Potassium";"ENCP14003205";1;"RUL290511"
"RU1000183";"Iron";"ENCP14003206";1;"RUL290511"
"RU1000184";"Carbon";"ENCP14003207";1;"RUL290511"
"RU1000185";"Crucibles";"ENCP14003208";1;"RUL290511"
"RU1000186";"Burets";"ENCP14003209";1;"RUL290511"
"RU1000187";"Scientific Calculator";"ENCP14003210";1;"RUL290511"
"RU1000188";"Clutches";"ENCP14003211";1;"RUL290511"
"RU1000189";"Joins";"ENCP14003212";1;"RUL290511"
"RU1000190";"Tongs";"ENCP14003213";1;"RUL290511"
"RU1000191";"Droppers";"ENCP14003214";1;"RUL290511"
"RU1000192";"Spatulas";"ENCP14003215";1;"RUL290511"
"RU1000193";"Scoopulas";"ENCP14003216";1;"RUL290511"
"RU1000194";"Utility clamp";"ENCP14003217";1;"RUL290511"
"RU1000195";"Ring clamp";"ENCP14003301";1;"RUL290512"
"RU1000196";"Fume hood";"ENCP14003302";1;"RUL290512"
"RU1000197";"Dropper pipets";"ENCP14003303";1;"RUL290512"
"RU1000198";"Pinch clamp";"ENCP14003304";1;"RUL290512"
"RU1000199";"Mercury";"ENCP14003305";1;"RUL290512"
"RU1000200";"Carbon";"ENCP14003306";1;"RUL290512"
"RU1000201";"Hydrogen";"ENCP14003307";1;"RUL290512"
"RU1000202";"Sodium";"ENCP14003308";1;"RUL290512"
"RU1000203";"Nitrogen";"ENCP14003309";1;"RUL290512"
"RU1000204";"Magnesium";"ENCP14003310";1;"RUL290512"
"RU1000205";"Chlorine";"ENCP14003311";1;"RUL290512"
"RU1000206";"Calcium";"ENCP14003312";1;"RUL290512"
"RU1000207";"Sulfur";"ENCP14003313";1;"RUL290512"
"RU1000208";"Arsenic";"ENCP14003314";1;"RUL290512"
"RU1000209";"Titanium";"ENCP14003315";1;"RUL290512"
"RU1000210";"Uranium";"ENCP14003316";1;"RUL290512"
"RU1000211";"Gallium";"ENCP14003317";1;"RUL290512"
"RU1000212";"Bromine";"ENCP14003401";1;"RUL290513"
"RU1000213";"Manganese";"ENCP14003402";1;"RUL290513"
"RU1000214";"Copper";"ENCP14003403";1;"RUL290513"
"RU1000215";"Zinc";"ENCP14003404";1;"RUL290513"
"RU1000216";"Cadmium";"ENCP14003405";1;"RUL290513"
"RU1000217";"Boron";"ENCP14003406";1;"RUL290513"
"RU1000218";"Indium";"ENCP14003407";1;"RUL290513"
"RU1000219";"Iodine";"ENCP14003408";1;"RUL290513"
"RU1000220";"Tin";"ENCP14003409";1;"RUL290513"
"RU1000221";"Lead";"ENCP14003410";1;"RUL290513"
"RU1000222";"Arsenic";"ENCP14003411";1;"RUL290513"
"RU1000223";"Helium";"ENCP14003412";1;"RUL290513"
"RU1000224";"Xenon";"ENCP14003413";1;"RUL290513"
"RU1000225";"Selenium";"ENCP14003414";1;"RUL290513"
"RU1000226";"Germanium";"ENCP14003415";1;"RUL290513"
"RU1000227";"Phosphorous";"ENCP14003416";1;"RUL290513"
"RU1000228";"Platinum";"ENCP14003417";1;"RUL290513"
"RU1000229";"Telescopes";"ENCP14007101";1;"RUL795010"
"RU1000230";"Scientific goggles";"ENCP14007102";1;"RUL795010"
"RU1000231";"Cameras";"ENCP14007103";1;"RUL795010"
"RU1000232";"Antennas";"ENCP14007104";1;"RUL795010"
"RU1000233";"Filters";"ENCP14007105";1;"RUL795010"
"RU1000234";"Photometers";"ENCP14007106";1;"RUL795010"
"RU1000235";"Spectrometers";"ENCP14007107";1;"RUL795010"
"RU1000236";"Radios";"ENCP14007108";1;"RUL795010"
"RU1000237";"X-rays emitter";"ENCP14007201";1;"RUL795011"
"RU1000238";"Gamma ray emitter";"ENCP14007202";1;"RUL795011"
"RU1000239";"Batteries";"ENCP14007203";1;"RUL795011"
"RU1000240";"Battery charger";"ENCP14007204";1;"RUL795011"
"RU1000241";"Light meter";"ENCP14007205";1;"RUL795011"
"RU1000242";"Beacon";"ENCP14007206";1;"RUL795011"
"RU1000243";"Sensors";"ENCP14007207";1;"RUL795011"
"RU1000244";"Tripods";"ENCP14007208";1;"RUL795011"
"RU1000245";"Scientific calculator";"ENCP14007301";1;"RUL795012"
"RU1000246";"Batteries";"ENCP14007302";1;"RUL795012"
"RU1000247";"Battery charger";"ENCP14007303";1;"RUL795012"
"RU1000248";"Bottle Filling Machine Trainer";"ENCP14007304";1;"RUL795012"
"RU1000249";"Level Measurement Trainer";"ENCP14007305";1;"RUL795012"
"RU1000250";"Sprockets";"ENCP14007306";1;"RUL795012"
"RU1000251";"Stepper motor";"ENCP14007307";1;"RUL795012"
"RU1000253";"Solenoids";"ENCP14007401";1;"RUL795013"
"RU1000254";"Motors";"ENCP14007402";1;"RUL795013"
"RU1000255";"Turbines";"ENCP14007403";1;"RUL795013"
"RU1000256";"PLC training rack";"ENCP14007404";1;"RUL795013"
"RU1000257";"Reels";"ENCP14007405";1;"RUL795013"
"RU1000258";"Automation equipment";"ENCP14007406";1;"RUL795013"
"RU1000259";"EVA Airlock";"ENCP14007407";1;"RUL795013"
"RU1000260";"Igloo";"ENCP14007408";1;"RUL795013"
"RU1000261";"Magnetic stirrer";"ENCP14007409";1;"RUL795013"
"US1000386";"Microscopes";"ENCP25002101";1;"USL492010"
"US1000387";"Organism samples";"ENCP25002102";1;"USL492010"
"US1000388";"Food samples";"ENCP25002103";1;"USL492010"
"US1000389";"Forceps";"ENCP25002104";1;"USL492010"
"US1000390";"Probes";"ENCP25002105";1;"USL492010"
"US1000391";"Scalpels";"ENCP25002106";1;"USL492010"
"US1000392";"Dyes";"ENCP25002107";1;"USL492010"
"US1000393";"Indicators";"ENCP25002108";1;"USL492010"
"US1000394";"Gloves";"ENCP25002109";1;"USL492010"
"US1000395";"Lab coats";"ENCP25002110";1;"USL492010"
"US1000396";"Drying rack";"ENCP25002111";1;"USL492010"
"US1000397";"Flint";"ENCP25002112";1;"USL492010"
"US1000398";"Graduated cylinders";"ENCP25002113";1;"USL492010"
"US1000399";"Stopwatch";"ENCP25002114";1;"USL492010"
"US1000400";"Test Strip";"ENCP25002115";1;"USL492010"
"US1000401";"Ph test strips";"ENCP25002201";1;"USL492011"
"US1000402";"Dissection equipment ";"ENCP25002202";1;"USL492011"
"US1000403";"Tissue";"ENCP25002203";1;"USL492011"
"US1000404";"Cold storage";"ENCP25002204";1;"USL492011"
"US1000405";"Spatula";"ENCP25002205";1;"USL492011"
"US1000406";"Scoopulas";"ENCP25002206";1;"USL492011"
"US1000407";"Blades";"ENCP25002207";1;"USL492011"
"US1000408";"Friction apparatus";"ENCP25002208";1;"USL492011"
"US1000409";"Tool box";"ENCP25002209";1;"USL492011"
"US1000410";"Pumps";"ENCP25002210";1;"USL492011"
"US1000411";"Graphs";"ENCP25002211";1;"USL492011"
"US1000412";"Test tube";"ENCP25002212";1;"USL492011"
"US1000413";"Petri Dishes";"ENCP25002213";1;"USL492011"
"US1000414";"Flasks";"ENCP25002214";1;"USL492011"
"US1000415";"Beakers";"ENCP25002215";1;"USL492011"
"US1000416";"Funnel";"ENCP25002301";1;"USL492012"
"US1000417";"Mortar";"ENCP25002302";1;"USL492012"
"US1000418";"Pestle";"ENCP25002303";1;"USL492012"
"US1000419";"Mall probe";"ENCP25002304";1;"USL492012"
"US1000420";"Test tube holder";"ENCP25002305";1;"USL492012"
"US1000421";"Thermometer";"ENCP25002306";1;"USL492012"
"US1000422";"Wire gauze";"ENCP25002307";1;"USL492012"
"US1000423";"Side arm flask";"ENCP25002308";1;"USL492012"
"US1000424";"Carboy";"ENCP25002309";1;"USL492012"
"US1000425";"Centrifuge";"ENCP25002310";1;"USL492012"
"US1000426";"Inoculating loop";"ENCP25002311";1;"USL492012"
"US1000427";"Hot fingers";"ENCP25002312";1;"USL492012"
"US1000428";"Safety goggles";"ENCP25002313";1;"USL492012"
"US1000429";"Latex gloves";"ENCP25002314";1;"USL492012"
"US1000430";"Scalpel handle";"ENCP25002315";1;"USL492012"
"US1000431";"Dissecting scissors";"ENCP25002401";1;"USL492013"
"US1000432";"Hotplate";"ENCP25002402";1;"USL492013"
"US1000433";"Iron ring";"ENCP25002403";1;"USL492013"
"US1000434";"Rubber stoppers";"ENCP25002404";1;"USL492013"
"US1000435";"Volumetric pipette";"ENCP25002405";1;"USL492013"
"US1000436";"Measuring pipette";"ENCP25002406";1;"USL492013"
"US1000437";"Ring stand";"ENCP25002407";1;"USL492013"
"US1000438";"Cork borer";"ENCP25002408";1;"USL492013"
"US1000439";"Parafilm";"ENCP25002409";1;"USL492013"
"US1000440";"Microscope slide";"ENCP25002410";1;"USL492013"
"US1000441";"Coverslip";"ENCP25002411";1;"USL492013"
"US1000442";"Beral pipette";"ENCP25002412";1;"USL492013"
"US1000443";"Graduated cylinder";"ENCP25002413";1;"USL492013"
"US1000444";"Telescopes";"ENCP21007101";1;"USL593210"
"US1000445";"Scientific goggles";"ENCP21007102";1;"USL593210"
"US1000446";"Cameras";"ENCP21007103";1;"USL593210"
"US1000447";"Antennas";"ENCP21007104";1;"USL593210"
"US1000448";"Filters";"ENCP21007105";1;"USL593210"
"US1000449";"Photometers";"ENCP21007106";1;"USL593210"
"US1000450";"Spectrometers";"ENCP21007107";1;"USL593210"
"US1000451";"Radios";"ENCP21007108";1;"USL593210"
"US1000452";"X-rays emitter";"ENCP21007201";1;"USL593211"
"US1000453";"Gamma ray emitter";"ENCP21007202";1;"USL593211"
"US1000454";"Batteries";"ENCP21007203";1;"USL593211"
"US1000455";"Battery charger";"ENCP21007204";1;"USL593211"
"US1000456";"Light meter";"ENCP21007205";1;"USL593211"
"US1000457";"Beacon";"ENCP21007206";1;"USL593211"
"US1000458";"Sensors";"ENCP21007207";1;"USL593211"
"US1000459";"Tripods";"ENCP21007208";1;"USL593211"
"US1000460";"Scientific calculator";"ENCP21007301";1;"USL593212"
"US1000461";"Batteries";"ENCP21007302";1;"USL593212"
"US1000462";"Battery charger";"ENCP21007303";1;"USL593212"
"US1000463";"Bottle Filling Machine Trainer";"ENCP21007304";1;"USL593212"
"US1000464";"Level Measurement Trainer";"ENCP21007305";1;"USL593212"
"US1000465";"Sprockets";"ENCP21007306";1;"USL593212"
"US1000466";"Stepper motor";"ENCP21007307";1;"USL593212"
"US1000468";"Solenoids";"ENCP21007401";1;"USL593213"
"US1000469";"Motors";"ENCP21007402";1;"USL593213"
"US1000470";"Turbines";"ENCP21007403";1;"USL593213"
"US1000471";"PLC training rack";"ENCP21007404";1;"USL593213"
"US1000472";"Reels";"ENCP21007405";1;"USL593213"
"US1000473";"Automation equipment";"ENCP21007406";1;"USL593213"
"US1000474";"EVA Airlock";"ENCP21007407";1;"USL593213"
"US1000475";"Igloo";"ENCP21007408";1;"USL593213"
"US1000476";"Magnetic stirrer";"ENCP21007409";1;"USL593213"
